Wattos Relation Name,Wattos Attribute Name,Wattos Data Type,Text Format,SF Category,Tag Name,Tag Name CIF,Comments,,Placeholder so that all columns get written by spreadsheet programs like Excel or Gnumeric.
entry_main,_Study_list.Sf_category,STRING,,study_list,_Study_list.Sf_category,,,,X
entry_main,_Study.ID,INTEGER,,study_list,_Study.ID,,,,X
entry_main,_Study.Name,STRING,,study_list,_Study.Name,,,,X
entry_main,_Study.Type,STRING,,study_list,_Study.Type,,,,X
entry_main,_Study.Details,STRING,,study_list,_Study.Details,,,,X
entry_information,_Entry.Sf_category        ,STRING,,entry_information,_Entry.Sf_category        ,,,,X
entry_information,_Entry.ID                 ,STRING,,entry_information,_Entry.ID                 ,,,,X
entry_information,_Entry.Title              ,STRING,,entry_information,_Entry.Title              ,,,,X
entry_information,_Entry.NMR_STAR_version   ,STRING,,entry_information,_Entry.NMR_STAR_version   ,_pdbx_version.major_version,,,X
entry_information,_Entry.PDB_coordinate_file_version   ,STRING,,entry_information,_Entry.PDB_coordinate_file_version   ,,,,X
entry_information,_Entry.Experimental_method,STRING,,entry_information,_Entry.Experimental_method,,,,X
entry_information,_Entry.Details            ,STRING,,entry_information,_Entry.Details            ,,,,X
entry_main,_Assembly.Sf_category,STRING,,assembly,_Assembly.Sf_category,,,,X
entry_main,name,STRING,,assembly,_Assembly.Name       ,,,,X
entry_main,_Assembly.Number_of_components,INTEGER,,assembly,_Assembly.Number_of_components,,,,X
entry_main,_Assembly.Organic_ligands     ,STRINGNR,,assembly,_Assembly.Organic_ligands     ,,,,X
entry_main,_Assembly.Metal_ions          ,STRINGNR,,assembly,_Assembly.Metal_ions          ,,,,X
entry_main,_Assembly.Paramagnetic        ,STRING,,assembly,_Assembly.Paramagnetic        ,,,,X
entry_main,_Assembly.Thiol_state         ,STRING,,assembly,_Assembly.Thiol_state         ,,,,X
entry_main,_Assembly.Molecular_mass      ,FLOAT,%.2f,assembly,_Assembly.Molecular_mass      ,,,,X
mol_main,mol_id,INTEGER,,assembly,_Entity_assembly.ID,_struct_asym.id,Of different datatype than in Wattos,,X
mol_main,_Entity_assembly.Entity_assembly_name,STRING,,assembly,_Entity_assembly.Entity_assembly_name,,,,X
mol_main,_Entity_assembly.Entity_ID,INTEGER,,assembly,_Entity_assembly.Entity_ID,_struct_asym.entity_id,,,X
mol_main,_Entity_assembly.Entity_label,STRING,,assembly,_Entity_assembly.Entity_label,,,,X
mol_main,_Entity_assembly.Asym_ID,STRING,,assembly,_Entity_assembly.Asym_ID,,,,X
mol_main,_Entity_assembly.Details,STRING,,assembly,_Entity_assembly.Details,,,,X
mol_main,entry_id,INTEGER,,assembly,_Entity_assembly.Assembly_ID,,,,X
res_main,_PDBX_nonpoly_scheme.Entity_assembly_ID ,INTEGER,,assembly,_PDBX_nonpoly_scheme.Entity_assembly_ID ,_pdbx_nonpoly_scheme.asym_id ,,,X
res_main,_PDBX_nonpoly_scheme.Entity_ID          ,INTEGER,,assembly,_PDBX_nonpoly_scheme.Entity_ID          ,_pdbx_nonpoly_scheme.entity_id,,,X
res_main,_PDBX_nonpoly_scheme.Mon_ID             ,STRING,,assembly,_PDBX_nonpoly_scheme.Mon_ID             ,_pdbx_nonpoly_scheme.mon_id,,,X
res_main,_PDBX_nonpoly_scheme.Comp_index_ID      ,INTEGER,,assembly,_PDBX_nonpoly_scheme.Comp_index_ID      ,_pdbx_nonpoly_scheme.ndb_seq_num ,,,X
res_main,_PDBX_nonpoly_scheme.Comp_ID            ,STRING,,assembly,_PDBX_nonpoly_scheme.Comp_ID            ,_pdbx_nonpoly_scheme.pdb_mon_id,,,X
res_main,_PDBX_nonpoly_scheme.Auth_seq_num       ,INTEGER,,assembly,_PDBX_nonpoly_scheme.Auth_seq_num       ,_pdbx_nonpoly_scheme.auth_seq_num,,,X
mol_main,_Entity.Sf_category,STRING,,entity,_Entity.Sf_category,,,,X
mol_main,_Entity.ID,INTEGER,,entity,_Entity.ID,_entity.id,,,X
mol_main,type,STRING,,entity,_Entity.Type       ,_entity.type,,,X
mol_main,name,STRING,,entity,_Entity.Name    ,_entity.pdbx_description,,,X
mol_main,_entity_poly.entity_id,INTEGER,,entity,_entity_poly.entity_id,_entity_poly.entity_id,,,X
mol_main,pol_type,STRING,,entity,_Entity.Polymer_type   ,_entity_poly.type,,,X
mol_main,_Entity.Seq_length ,INTEGER,,entity,_Entity.Number_of_monomers,,,,X
mol_main,_Entity.Seq        ,STRING,,entity,_Entity.Polymer_seq_one_letter_code ,,,,X
mol_main,_pdbx_entity_nonpoly.entity_id,INTEGER,,entity,,_pdbx_entity_nonpoly.entity_id,,,X
mol_main,_pdbx_entity_nonpoly.comp_id,STRINGNR,,entity,_pdbx_entity_nonpoly.comp_id,_pdbx_entity_nonpoly.comp_id,,,X
res_main,_Entity_comp_index.Entity_ID,INTEGER,,entity,_Entity_comp_index.Entity_ID,,n/a,,X
res_main,_Entity_comp_index.ID,INTEGER,,entity,_Entity_comp_index.ID,,n/a,,X
res_main,_Entity_comp_index.Comp_ID,STRING,,entity,_Entity_comp_index.Comp_ID,,n/a,,X
res_main,_Entity_comp_index.Comp_label,STRING,,entity,_Entity_comp_index.Comp_label,,n/a,,X
res_main,mol_id,INTEGER,,entity,_Entity_poly_seq.Entity_ID     ,_entity_poly_seq.entity_id,,,X
res_main,res_id,INTEGER,,entity,_Entity_poly_seq.Num,_entity_poly_seq.num,,,X
res_main,number,INTEGER,,entity,_Entity_poly_seq.Comp_index_ID,,,,X
res_main,name,STRING,,entity,_Entity_poly_seq.Mon_ID,_entity_poly_seq.mon_id,,,X
res_main,_Chem_comp.Sf_category,STRINGNR,,chem_comp,_Chem_comp.Sf_category,,,,X
res_main,_Chem_comp.ID,STRINGNR,,chem_comp,_Chem_comp.ID,_chem_comp.id,,,X
res_main,_Chem_comp.Type,STRINGNR,,chem_comp,_Chem_comp.Type,,n/a,,X
res_main,_pdbx_nonpoly_scheme.asym_id,STRINGNR,,chem_comp,_pdbx_nonpoly_scheme.asym_id,_pdbx_nonpoly_scheme.asym_id,,,X
res_main,_pdbx_nonpoly_scheme.mon_id,STRINGNR,,chem_comp,_pdbx_nonpoly_scheme.mon_id,_pdbx_nonpoly_scheme.mon_id,,,X
res_main,_pdbx_nonpoly_scheme.ndb_seq_num,STRINGNR,,chem_comp,_pdbx_nonpoly_scheme.ndb_seq_num,_pdbx_nonpoly_scheme.ndb_seq_num,,,X
atom_main,_Conformer_family_coord_set.Sf_category,STRING,,conformer_family_coord_set,_Conformer_family_coord_set.Sf_category,,,,X
atom_main,_Atom_site.Conformer_family_coord_set_ID,INTEGER,,conformer_family_coord_set,_Atom_site.Conformer_family_coord_set_ID,,,,X
atom_main,_Atom_site.Model_ID,INTEGER,,conformer_family_coord_set,_Atom_site.Model_ID,_atom_site.pdbx_PDB_model_num,not mandatory?,,X
atom_main,_Atom_site.Assembly_atom_ID,INTEGER,,conformer_family_coord_set,_Atom_site.Assembly_atom_ID,,,,X
atom_main,_Atom_site.ID,INTEGER,,conformer_family_coord_set,_Atom_site.ID,_atom_site.id,,,X
atom_main,_Atom_site.Label_entity_assembly_ID,INTEGER,,conformer_family_coord_set,_Atom_site.Label_entity_assembly_ID,,,,X
atom_main,_Atom_site.Label_asym_ID,STRINGNR,,conformer_family_coord_set,_Atom_site.PDBX_label_asym_ID,_atom_site.label_asym_id,,,X
atom_main,_Atom_site.Label_entity_ID,INTEGER,,conformer_family_coord_set,_Atom_site.Label_entity_ID,_atom_site.label_entity_id,,,X
atom_main,_Atom_site.Label_comp_index_ID,INTEGER,,conformer_family_coord_set,_Atom_site.Label_comp_index_ID,_atom_site.label_seq_id,,,X
atom_main,_Atom_site.Label_seq_ID,STRINGNR,,conformer_family_coord_set,_Atom_site.Label_seq_ID,,,,X
atom_main,_Atom_site.Label_comp_ID,STRINGNR,,conformer_family_coord_set,_Atom_site.Label_comp_ID,_atom_site.label_comp_id,,,X
atom_main,_Atom_site.PDB_ins_code,STRINGNR,,conformer_family_coord_set,_Atom_site.PDB_ins_code,_atom_site.pdbx_PDB_ins_code,,,X
atom_main,name,STRINGNR,,conformer_family_coord_set,_Atom_site.Label_atom_ID,_atom_site.label_atom_id,,,X
atom_main,auth_mol_name,STRINGNR,,conformer_family_coord_set,_Atom_site.PDB_strand_ID,_atom_site.auth_asym_id,,,X
atom_main,auth_res_id,STRINGNR,,conformer_family_coord_set,_Atom_site.PDB_residue_no,_atom_site.auth_seq_id,,,X
atom_main,auth_res_name,STRINGNR,,conformer_family_coord_set,_Atom_site.PDB_residue_name,_atom_site.auth_comp_id,,,X
atom_main,auth_atom_name,STRINGNR,,conformer_family_coord_set,_Atom_site.PDB_atom_name,_atom_site.auth_atom_id,,,X
atom_main,auth_alt_id,STRINGNR,,conformer_family_coord_set,_Atom_site.Auth_alt_ID,_atom_site.pdbx_auth_alt_id,,,X
atom_main,auth_atom_name2,STRINGNR,,conformer_family_coord_set,_Atom_site.Auth_atom_name,_atom_site.pdbx_auth_atom_name,,,X
atom_main,element_id,STRINGNR,,conformer_family_coord_set,_Atom_site.Type_symbol,_atom_site.type_symbol,,,X
atom_main,coor_x,FLOAT,%.3f,conformer_family_coord_set,_Atom_site.Cartn_x,_atom_site.Cartn_x,,,X
atom_main,coor_y,FLOAT,%.3f,conformer_family_coord_set,_Atom_site.Cartn_y,_atom_site.Cartn_y,,,X
atom_main,coor_z,FLOAT,%.3f,conformer_family_coord_set,_Atom_site.Cartn_z,_atom_site.Cartn_z,,,X
